Iter,RawNAG,SigmoidNAG,SigmoidNAGQG
187,0.70374,0.71982,0.75344
188,0.70396,0.72134,0.7537
189,0.70568,0.72136,0.75404
190,0.70644,0.71918,0.75436
191,0.70638,0.71704,0.75464
192,0.70584,0.7132,0.75482
193,0.70648,0.71098,0.75516
194,0.70604,0.71174,0.75546
195,0.70584,0.71416,0.75586
196,0.70704,0.71752,0.7563
197,0.7075,0.71978,0.75662
198,0.70804,0.72216,0.75686
199,0.71,0.72332,0.75708
200,0.71062,0.7232,0.75732
201,0.71154,0.72234,0.7575
202,0.71436,0.72074,0.75792
203,0.71578,0.72076,0.75824
204,0.71582,0.7212,0.75836
205,0.71414,0.72228,0.75866
206,0.71104,0.7247,0.75864
207,0.70788,0.72562,0.75892
208,0.70672,0.72678,0.75908
209,0.70904,0.72744,0.7592
210,0.71104,0.72582,0.7593
211,0.71352,0.7243,0.7595
212,0.7174,0.7201,0.75976
213,0.71828,0.71804,0.7597
214,0.71816,0.7165,0.75978
215,0.71722,0.7178,0.75988
216,0.71598,0.72108,0.7599
217,0.71578,0.72338,0.76
218,0.71488,0.72674,0.76034
219,0.71536,0.72842,0.76048
220,0.715,0.72878,0.76072
221,0.71548,0.72854,0.76102
222,0.71626,0.72708,0.76114
223,0.71922,0.72544,0.76148
224,0.72154,0.72482,0.76154
225,0.72352,0.72398,0.76176
226,0.72392,0.72414,0.76196
227,0.72262,0.72578,0.76204
228,0.7199,0.72738,0.76202
229,0.71728,0.72756,0.7623
230,0.71554,0.7281,0.76248
231,0.71512,0.72882,0.76236
232,0.71656,0.72856,0.7625
233,0.7181,0.72728,0.76266
234,0.72012,0.72636,0.7628
235,0.72248,0.72606,0.76298
236,0.72478,0.7268,0.76312
237,0.72542,0.72796,0.76336
238,0.72572,0.72938,0.7635
239,0.72586,0.73132,0.76358
240,0.72514,0.73218,0.76384
241,0.72466,0.73262,0.76408
242,0.72354,0.73374,0.76418
243,0.72372,0.73308,0.76438
244,0.72334,0.73296,0.76454
245,0.72418,0.73254,0.76448
246,0.72522,0.73174,0.76494
247,0.72556,0.73102,0.76502
248,0.72676,0.7305,0.76528
249,0.72636,0.73048,0.76528
250,0.72514,0.72956,0.76546
251,0.72384,0.72886,0.76556
252,0.72218,0.72866,0.76564
253,0.72222,0.72872,0.7658
254,0.72294,0.72968,0.76598
255,0.72412,0.73006,0.76622
256,0.7258,0.73106,0.76632
257,0.72662,0.73158,0.76658
258,0.72712,0.73274,0.76666
259,0.72728,0.73368,0.76678
260,0.72676,0.73428,0.76698
261,0.72584,0.7357,0.76708
262,0.72516,0.73636,0.76728
263,0.72466,0.73694,0.76738
264,0.72536,0.73732,0.76748
265,0.72648,0.73704,0.76758
266,0.72742,0.73684,0.76774
267,0.72884,0.7371,0.76804
268,0.73154,0.73646,0.76832
269,0.73366,0.73752,0.76854
270,0.7345,0.73738,0.76862
271,0.73454,0.7377,0.7687
272,0.7329,0.73674,0.76888
273,0.73048,0.73656,0.76902
274,0.72804,0.73652,0.76926
275,0.72648,0.7357,0.76938
276,0.72574,0.73518,0.76956
277,0.72606,0.73506,0.76978
278,0.72704,0.73432,0.76988
279,0.72954,0.73424,0.77008
280,0.73216,0.73496,0.77016
281,0.73468,0.73536,0.77036
282,0.73684,0.73682,0.77048
283,0.7366,0.73732,0.77054
284,0.73696,0.73784,0.77068
285,0.73386,0.73782,0.77074
286,0.73286,0.73784,0.77086
287,0.73126,0.73846,0.77092
288,0.73044,0.73882,0.77104
289,0.72966,0.74006,0.77118
290,0.72964,0.74078,0.77132
291,0.73062,0.74164,0.77146
292,0.7316,0.74194,0.77148
293,0.73298,0.74258,0.77168
294,0.73564,0.74318,0.77194
295,0.73674,0.74398,0.77218
296,0.73702,0.74368,0.7722
297,0.73766,0.74326,0.77218
298,0.73718,0.74296,0.77214
299,0.73608,0.74264,0.77238
300,0.73538,0.74182,0.77228
301,0.73474,0.74134,0.7724
302,0.73476,0.74062,0.7725
303,0.73544,0.74086,0.77268
304,0.7362,0.74092,0.77276
305,0.73688,0.74106,0.77286
306,0.73748,0.74068,0.77294
307,0.73852,0.74062,0.77292
308,0.7389,0.74126,0.77308
309,0.73896,0.74262,0.77316
310,0.73984,0.74258,0.77322
311,0.74004,0.74212,0.77338
312,0.74026,0.74214,0.77348
313,0.74044,0.74232,0.7734
314,0.74022,0.74136,0.77358
315,0.73978,0.74162,0.77382
316,0.74006,0.74128,0.77384
317,0.73982,0.74192,0.77396
318,0.73838,0.74216,0.77406
319,0.73724,0.74274,0.77424
320,0.73638,0.7427,0.77432
321,0.73542,0.74426,0.77444
322,0.73556,0.74478,0.7744
323,0.73612,0.74542,0.77426
324,0.73686,0.74638,0.77436
325,0.73802,0.74606,0.7745
326,0.73928,0.74586,0.7746
327,0.74108,0.74614,0.77462
328,0.74264,0.74604,0.77464
329,0.74358,0.746,0.77454
330,0.74418,0.74464,0.7746
331,0.74458,0.7437,0.77462
332,0.7448,0.74286,0.77472
333,0.74432,0.74284,0.77488
334,0.74352,0.74318,0.77494
335,0.7429,0.74376,0.7751
336,0.74186,0.7444,0.77516
337,0.7416,0.7451,0.77538
338,0.74136,0.746,0.77548
339,0.7423,0.74666,0.77562
340,0.7433,0.74642,0.77566
341,0.74458,0.74592,0.77584
342,0.7462,0.74582,0.77582
343,0.74728,0.74436,0.77594
344,0.74764,0.74452,0.7759
345,0.7473,0.7437,0.77596
346,0.74614,0.7433,0.77602
347,0.74488,0.74288,0.776
348,0.74366,0.74324,0.77604
349,0.742,0.74348,0.77602
350,0.74066,0.74446,0.77594
351,0.74058,0.74546,0.77604
352,0.73984,0.746,0.77618
353,0.74028,0.74666,0.77626
354,0.74134,0.74764,0.77642
355,0.74226,0.74776,0.77648
356,0.74384,0.74848,0.77654
357,0.74584,0.7481,0.77678
358,0.74754,0.7475,0.7767
359,0.74908,0.74734,0.7767
360,0.75008,0.7465,0.77698
361,0.75036,0.74632,0.77682
362,0.75056,0.74612,0.77676
363,0.75002,0.7461,0.77688
364,0.74914,0.74638,0.77698
365,0.74788,0.74764,0.77702
366,0.74752,0.74762,0.77706
367,0.74684,0.7479,0.7771
368,0.74652,0.74846,0.77714
369,0.74654,0.74886,0.77722
370,0.74654,0.749,0.77724
371,0.7475,0.7486,0.77718
372,0.74808,0.74894,0.77726
373,0.74838,0.74828,0.77736
374,0.74862,0.74758,0.77744
375,0.74904,0.74754,0.7776
376,0.74962,0.74698,0.77758
377,0.7496,0.74722,0.77754
378,0.7495,0.74694,0.7777
379,0.74838,0.74636,0.77772
380,0.74794,0.74648,0.7776
381,0.74706,0.74652,0.77772
382,0.74626,0.74638,0.77774
383,0.7465,0.74692,0.77784
384,0.74618,0.7469,0.77784
385,0.7472,0.74688,0.77792
386,0.74776,0.74744,0.77802
387,0.74868,0.7476,0.77804
388,0.74956,0.7481,0.77808
389,0.75002,0.74876,0.77822
390,0.75038,0.74846,0.77822
391,0.75036,0.74904,0.77828
392,0.7505,0.74958,0.77852
393,0.75084,0.7497,0.7786
394,0.75106,0.7502,0.7787
395,0.75152,0.75066,0.77876
396,0.75122,0.75058,0.77884
397,0.75102,0.75056,0.77888
398,0.75092,0.75052,0.77886
399,0.75088,0.74996,0.7789
400,0.75032,0.7497,0.77888
401,0.75046,0.7499,0.7788
402,0.75012,0.74992,0.77884
403,0.7501,0.7505,0.77884
404,0.74982,0.7509,0.7789
405,0.74952,0.75122,0.77898
406,0.75046,0.75174,0.7791
407,0.75034,0.75182,0.77924
408,0.75036,0.7522,0.77934
409,0.75034,0.75228,0.77946
410,0.75076,0.75168,0.77954
411,0.75068,0.75062,0.77964
412,0.75116,0.74994,0.7798
413,0.75078,0.74908,0.7798
414,0.75082,0.74926,0.77986
415,0.75086,0.74872,0.77982
416,0.75142,0.74852,0.77984
417,0.75114,0.7486,0.77996
418,0.75134,0.7489,0.78012
419,0.75148,0.74978,0.78018
420,0.75172,0.75052,0.78016
421,0.7516,0.75096,0.78008
422,0.75144,0.75178,0.78016
423,0.75218,0.75272,0.78024
424,0.75244,0.75286,0.78018
425,0.75258,0.7534,0.7801
426,0.7531,0.75394,0.7802
427,0.75352,0.7538,0.78022
428,0.75336,0.75346,0.78022
429,0.75334,0.75324,0.7802
430,0.75276,0.75284,0.7802
431,0.75292,0.75204,0.7802
432,0.75242,0.75188,0.78042
433,0.75266,0.75194,0.78044
434,0.75234,0.75238,0.78046
435,0.75248,0.75294,0.7805
436,0.753,0.75302,0.78054
437,0.75358,0.75344,0.78052
438,0.75398,0.75474,0.78056
439,0.7551,0.75508,0.78066
440,0.75522,0.7551,0.78064
441,0.75556,0.75504,0.78062
442,0.75528,0.75494,0.78074
443,0.75496,0.75402,0.78094
444,0.75454,0.75324,0.7809
445,0.75466,0.75286,0.7809
446,0.75452,0.75254,0.78094
447,0.75392,0.75224,0.78104
448,0.75408,0.75198,0.78116
449,0.754,0.75206,0.78114
450,0.75444,0.7517,0.78124
451,0.75472,0.75208,0.78124
452,0.75494,0.75318,0.78126
453,0.75526,0.7537,0.7812
454,0.7561,0.75338,0.78126
455,0.75726,0.75394,0.78132
456,0.75798,0.75414,0.78136
457,0.75854,0.75488,0.78146
458,0.75904,0.75524,0.78146
459,0.75882,0.75508,0.78154
460,0.75822,0.75468,0.7816
461,0.75728,0.75474,0.78172
462,0.75588,0.75494,0.78168
463,0.75474,0.75472,0.78164
464,0.7543,0.75492,0.78162
465,0.75372,0.75492,0.78174
466,0.753,0.75496,0.78168
467,0.75354,0.75504,0.7817
468,0.75382,0.75468,0.78178
469,0.75422,0.75486,0.78176
470,0.75466,0.75526,0.78178
471,0.7551,0.75558,0.78184
472,0.75546,0.75568,0.78186
473,0.75684,0.75598,0.78186
474,0.75748,0.75592,0.78194
475,0.75778,0.75604,0.78194
476,0.7589,0.75588,0.78196
477,0.7592,0.75514,0.78214
478,0.75904,0.75516,0.78218
479,0.75914,0.75518,0.78226
480,0.75844,0.75516,0.78238
481,0.75828,0.75486,0.78244
482,0.75784,0.75538,0.78248
483,0.758,0.75564,0.78252
484,0.75836,0.75544,0.7826
485,0.75836,0.75524,0.7828
486,0.75826,0.7553,0.78292
487,0.75926,0.75496,0.78292
488,0.75904,0.75502,0.78294
489,0.75942,0.75532,0.78292
490,0.75936,0.75552,0.78296
491,0.7595,0.75604,0.783
492,0.75998,0.75596,0.78302
493,0.76012,0.75612,0.783
494,0.76012,0.75712,0.7829
495,0.76012,0.75658,0.78294
496,0.7597,0.75626,0.78296
497,0.75896,0.75646,0.78306
498,0.75792,0.75676,0.78304
499,0.75762,0.75604,0.7831
500,0.75728,0.7567,0.7832
